職位名稱,公司名稱,工作經歷,公司連結,職位連結,c#,python,pl/sql,c,c++,jquery,css,django,android,ios,c++.net,java,visual studio .net,activex,dhtml,html,j2ee,j2me,j2se,web master/developer,xml,xml web services,http,labview,jdbc,ms sql,mysql,oracle,postgresql,hadoop,aws,tableau,power bi,hive,san/nas,teradata,tibco,matlab,excel,internet explorer,outlook,powerpoint,word,jsp,php,winform,rdbms,sapdb,vmware,linux,unix,ooad,oop,database management,autocad 2d,solidworks,inventor,autocad,asp.net,microsoft sharepoint,spc,sap,鼎基 erp,windows nt,windows xp,pro/e,中文打字50~75,iso9000,rohs,ts16949,project,cadence allegro,powerpcb,coreldraw,illustrator,mcu,dsp,plc,windows 10,access,ajax,javascript,英文打字50~75,windows 7,iso14000,ohsas18000,acl,ptc creo elements/direct,autocad 3d,windows 2000,orcad,windows 2003,3ds max,sketch up,visual basic,pcba,spring,visual studio,鼎新,中文打字20~50,perl,tcl,bgp,cisco,ethernet,ospf,tcp/ip,vlan,arm,servlets,windows 98,catia
人工智慧應用研究員 - J1703,廣達電腦股份有限公司,3年以上,https://www.104.com.tw/company/ahfsoq0,https://www.104.com.tw/job/6h4qn?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IoT-Factory系統開發工程師_.NET Core(林口廠),Advantech_研華股份有限公司,不拘,https://www.104.com.tw/company/2d9ntmw,https://www.104.com.tw/job/3y0g5?jobsource=jolist_b_relevance,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
人工智慧資料科學家,雋奇科技有限公司,不拘,https://www.104.com.tw/company/1a2x6bkqy8,https://www.104.com.tw/job/6y8a7?jobsource=jolist_b_relevance,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
網頁開發工程師,雋奇科技有限公司,不拘,https://www.104.com.tw/company/1a2x6bkqy8,https://www.104.com.tw/job/6y8pf?jobsource=jolist_b_relevance,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
網頁開發工程師,雋奇科技有限公司,不拘,https://www.104.com.tw/company/1a2x6bkqy8,https://www.104.com.tw/job/6y8p1?jobsource=jolist_b_relevance,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新鮮人-AI-人工智慧應用工程師 - J1718,廣達電腦股份有限公司,不拘,https://www.104.com.tw/company/ahfsoq0,https://www.104.com.tw/job/6id5z?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
醫療產品軟體研發 - J1637,廣達電腦股份有限公司,不拘,https://www.104.com.tw/company/ahfsoq0,https://www.104.com.tw/job/6g39p?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資訊- IT 資訊工程師 - 龍潭廠,艾克爾國際科技股份有限公司,不拘,https://www.104.com.tw/company/7n22a2o,https://www.104.com.tw/job/6w6ck?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
人工智慧應用專員/工程師 - J1704,廣達電腦股份有限公司,2年以上,https://www.104.com.tw/company/ahfsoq0,https://www.104.com.tw/job/6hw53?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
研發工程類-電腦視覺演算法工程師/主管 Computer Vision Engineer/Supervisor,ASM Pacific_香港商先進太平洋股份有限公司台灣分公司,不拘,https://www.104.com.tw/company/ocobq3k,https://www.104.com.tw/job/4uxue?jobsource=jolist_b_relevance,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
