職位名稱,公司名稱,工作經歷,公司連結,職位連結,excel,powerpoint,word,python,linux,mysql,php,javascript,github,java,pl/sql,postgresql,django,spss,r,ms sql,google analytics,unix,outlook,node.js,oracle,matlab,tableau,power bi,c,c++,vba,access,sas,toad,screaming frog seo spider,google trend,google data studio,director,premiere,adobe acrobat,中文打字50~75,adobe photoshop,coreldraw,illustrator,windows 8,中文打字20~50,英文打字20~50,onenote,planner,xmind,mac/macintosh,windows server 2012,jsf,visual c++,database administrator,etl,jdbc,olap,sysbase,tomcat,vmware,hadoop,aws,apache soap,html,xml,jquery,css,firewall,ftp,http,juniper,lan,ldap,load balancing,security,soap,tcp/ip,wan,internet explorer,project,spring,windows 7,英文打字50~75,windows 2000,informatica,英文打字100~125,autocad,after effects,中文打字75~100,英文打字75~100,ansi sql,android,ios,windows 10,visio,中文打字125~150,鼎新,ajax,jsp,dhtml,windows xp,sap,adabas,windows 95,google tag manager,中文打字100~125,apple,英文打字125~150,e-commerce,mac os,gis,google display network,正航,data modeling,data marts,cooldraw,windows vista,photoimpact,asp,asp.net,c#,visual studio .net,vbscript,libreoffice writer,calc,impress,math,imageready,dreamweaver,electronic payment,frontpage,web master/developer,dns,adobe indesign,j2ee,mindnode,vpn,sketch up,similarweb,swift,scala,vuejs,data architect,hive,checkpoint,cisco,framemaker,文中系統,final cut prox,visual basic,visual basic .net,visual studio,odbc,j2se,xhtml,iis,san/nas,rdbms,systems analysis,systems analyst,axure rp,uml,c++.net,angularjs,cognos,datastage,windows mobile,go
遠雄房地產-網路行銷總監,遠雄房地產發展股份有限公司,8年以上,https://www.104.com.tw/company/1a2x6bkcg9,https://www.104.com.tw/job/5yqzu?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
產品行銷業務專員,尚璟科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bi73j,https://www.104.com.tw/job/6y6oq?jobsource=jolist_b_relevance,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資料分析師 Data Analyst,優愛德股份有限公司,不拘,https://www.104.com.tw/company/de2utio,https://www.104.com.tw/job/5f7zk?jobsource=jolist_b_relevance,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
數據/資料分析師,簡單行動支付股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6biqxj,https://www.104.com.tw/job/6uh1s?jobsource=jolist_b_relevance,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資料分析師,天氣風險管理開發股份有限公司,不拘,https://www.104.com.tw/company/10u6k9vs,https://www.104.com.tw/job/6xuww?jobsource=jolist_b_relevance,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst 資料分析師,核桃運算股份有限公司,不拘,https://www.104.com.tw/company/1a2x6biwtm,https://www.104.com.tw/job/46yog?jobsource=jolist_b_relevance,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資料分析工程師,希平方科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bj297,https://www.104.com.tw/job/6o3og?jobsource=jolist_b_relevance,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
資料分析師(資訊部),永豐金證券股份有限公司,不拘,https://www.104.com.tw/company/am935lk,https://www.104.com.tw/job/6wj0q?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I177 資料分析資深工程師,台灣大哥大股份有限公司,1年以上,https://www.104.com.tw/company/18n48ptc,https://www.104.com.tw/job/66q7y?jobsource=jolist_b_relevance,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD-生物資料分析人員,創源生物科技股份有限公司,3年以上,https://www.104.com.tw/company/b5d23xs,https://www.104.com.tw/job/6ixv1?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
